Term,Description
параумбиликальный ,Параумбиликальный - расположенный около пупка 
парацентез ,Парацентез - пункция: процесс удаления избыточного количества жидкости из какой-либо полости тела через введенную в нее полую иглу или канюлю 
параэзофагеальный ,Параэзофагеальный - расположенный около пищевода 
парез ,"Парез - уменьшение силы и/или амплитуды произвольных движений, обусловленное нарушением иннервации (обеспечения нервами и связи с центральной нервной системой) соответствующих мышц4 "
парез кишечника ,Парез кишечника - нарушение моторной функции кишечника вплоть до полной атонии (отсутствие мышечного тонуса). 
парентеральный способ ,"Парентеральный способ (Пар- + греч. entera - кишки, кишечник) - общее название способов введения веществ в организм, минуя пищеварительный тракт. "
паренхима ,"Паренхима - совокупность основных функционирующих элементов внутреннего органа, ограниченная соединительнотканной стромой и капсулой.8 "
паренхиматозный зоб ,"Зоб паренхиматозный - зоб с нормальными элементами щитовидной железы без повышенного образования коллоида, на разрезе имеющий вид однородной мясистой ткани серо-розового цвета "
парестезия ,"Парестезия - спонтанно возникающее неприятное ощущение онемения, покалывания, жжения, ползания мурашек "
паретический ,"Слабый, вялый; обморочный. "
париетальная брюшина ,"Брюшина париетальная - часть брюшины, выстилающая внутреннюю поверхность брюшной стенки "
париетальная клетка ,"Париетальная клетка - клетка желудка, секретирующая соляную кислоту и внутренний фактор Кастла (фермент, переводящий поступающую с пищей неактивную форму витамина B12 в активную, т.е. усвояемую). "
париетальный ,"Париетальный (Parietalis) 1) (лат. paries, parietis - стенка) - относящийся к стенке полости или органа; 2) (анат. os parietale - теменная кость) - относящийся к теменной кости или области. "
пародонтоз ,"Пародонтоз (пиорея альвеолярная, полиальвеолиз, Фошара болезнь) - болезнь, характеризующаяся прогрессирующей резорбцией костной ткани зубных альвеол, воспалением десен и расшатыванием зубов "
пароксизм ,"Пароксизм - внезапное, обычно повторяющееся возникновение или усиление признаков болезни на относительно короткий промежуток времени "
пароксизмальная желудочковая тахикардия ,"Желудочковая пароксизмальная тахикардия (ЖТ) — в большинстве случаев это внезапно начинающийся и так же внезапно заканчивающийся приступ учащения желудочковых сокращений до 150–180 уд. в мин (реже — более 200 уд. в мин или в пределах 100–120 уд. в мин), обычно при сохранении правильного регулярного сердечного ритма. "
пароксизмальная тахиаритмия ,Пароксизмальная тахиаритмия - это проявляющийся приступообразно патологически быстрый сердечный ритм (обычно от 100 до 400 ударов в минуту - либо в верхних камерах сердца (фибрилляция предсердий) или в нижних (фибрилляция желудочков)) 
пароксизмальный ,"Пароксизмальный - протекающий в форме пароксизмов (признаки болезни возникают или усиливаются внезапно, на относительно короткий промежуток времени) "
паротит ,Воспаление околоушной железы. 
патогенез ,"Патогенез (греч. παθος — страдание, болезнь и γενεσις — происхождение, возникновение) — механизм зарождения и развития болезни и отдельных её проявлений "
патология ,"Патология (от греч. παθος — страдание, боль, болезнь и λογος — изучение) — болезненное отклонение от нормального состояния или процесса развития "
пейеровы бляшки ,"Бляшки лимфоидные (пейеровы бляшки) - овальные узелковые скопления лимфоидной ткани, располагающиеся в толще слизистой оболочки и в подслизистой основе тонкой кишки "
пелиоз ,Пелиоз - множественные выстланные эндотелием и заполненные кровью полости в паренхиматозных органах 
пеллагра ,"Пеллагра - болезнь, обусловленная недостаточностью никотиновой кислоты, триптофана и рибофлавина, характеризующаяся поражением кожи, пищеварительного тракта и нарушениями психики "
пелот ,"Пелот - набитое возвышение в грыжных бандажах, нажимающее на грыжу "
пемфигоид ,"Пемфигоид - хроническое заболевание, характеризующееся появлением на коже зудящих волдырей; наблюдается преимущественно у людей пожилого возраста. Чаше всего эти волдыри появляются на конечностях и сохраняются в течение нескольких дней, в отличие от волдырей, образующихся у человека при пузырчатке. Пемфигоид является аутоиммунным заболеванием и поддается лечению с помощью кортикостероидов или иммунодепрессантов "
пенетрантность ,Пенетрантность - частота проявления конкретного аллеля в группе родственных организмов 
пенетрация ,"Пенетрация - осложнение язвенной болезни в виде распространения инфильтративно-деструктивного процесса (проникновение с разрушением) из желудка или двенадцатиперстной кишки в толщу соседнего органа - печени, поджелудочной железы, сальника9 "
пепсин ,Пепсин - общее название протеолитических ферментов класса гидролаз. Образуется в желудочном соке из пепсиногена и участвует в переваривании белков пищи0 
пептическая язва ,"Язва пептическая - язва желудка, кишки или пищевода, развившаяся вследствие разрушающего действия желудочного сока на слизистую оболочку. "
пептические стриктуры пищевода ,"Пептическая стриктура пищевода - разновидность рубцового сужения пищевода, развивающаяся как осложнение тяжелого рефлюкс-эзофагита в результате прямого повреждающего действия соляной кислоты и желчи на пищеводную слизистую. "
первичный билиарный цирроз печени ,"Первичный биллиарный цирроз печени - хроническое прогрессирующее воспалительное заболевание печени, при котором первоначальное поражение внутридольковых и септальных желчных протоков с их разрушением ведет к дуктопении, холестазу и в терминальной стадии - к развитию цирроза печени "
периартикулярные ткани ,"Периартикулярные ткани - окружающие сустав мышцы, межмышечные соединительнотканные образования (перегородки, прослойки рыхлой соединительной ткани), слизистые сумки "
перибронхиальный склероз ,"Склероз перибронхиальный - склероз тканей, окружающих бронхи, возникающий на почве хронического бронхита и (или) бронхопневмонии "
перивентрикулярная лейкомаляция ,"Перивентрикулярная лейкомаляция (ПВЛ) — форма поражения белого вещества полушарий головного мозга у детей, одна из причин детского церебрального паралича. Характеризуется возникновением очагов некроза, преимущественно коагуляционного, в перивентрикулярных зонах белого вещества полушарий головного мозга у новорожденных детей "
перивисцерит ,"Перивисцерит - воспаление ткани, окружающей внутренний орган.1 "
перигастрит ,"Перигастрит - воспаление брюшины, покрывающей желудок. "
перигепатит ,"Перигепатит - воспаление брюшины, покрывающей печень, и ее фиброзной оболочки (капсулы) "
перидуоденит ,"Перидуоденит - воспаление брюшины, покрывающей двенадцатиперстную кишку, и (или) тканей, прилегающих к задней стенке кишки. "
периинфарктная зона ,Периинфарктная зона включает зону повреждения и зону ишемии 
перикард ,"Перикард (сердечная сорочка)-  тканевая оболочка, окружающая сердце, аорту, легочный ствол, устья полых и легочных вен "
перикардиотомия ,Перикардиотомия - хирургическая операция: рассечение перикарда с целью вскрытия его полости при перикардите или для доступа к сердцу 
перикардиоцентез ,Перикардиоцентез — важная лечебная и диагностическая процедура: пункция перикарда и удаление жидкости из околосердечной сумки. Чаще всего применяют для устранения тампонады сердца и выяснения этиологии перикардиального выпота 
перикардит ,"Перикардит - воспаление перикарда (тканевой оболочки, окружающей сердце, аорту, легочный ствол, устья полых и легочных вен) "
перикардит констриктивный ,"Перикардит констриктивный - хроническое спаечное воспаление перикарда, при котором развиваются мощные рубцовые спайки и утолщения перикарда (нередко с его кальцинозом), приводящие к нарушению деятельности сердца "
перикардэктомия ,Перикардэктомия - хирургическая операция: удаление перикарда 
периколит ,"Периколит - воспаление брюшины, покрывающей ободочную кишку "
периодическая болезнь ,"Болезнь периодическая (син. семейная средиземноморская лихорадка) - болезнь неясной этиологии, проявляющаяся периодическими стереотипными приступообразными болями в области живота (часто также в области груди и суставов) и пароксизмальной лихорадкой "
периоперативный ,"Периоперативный период — это время с момента принятия решения об операции до восстановления трудоспособности или ее стойкой утраты. Он включает в себя следующие периоды: предоперационный, интраоперационный (сама операция), послеоперационный. "
периостит ,"Периостит - воспаление надкостницы (оболочка кости, состоящая из плотной волокнистой соединительной ткани) "
перитонеальный диализ ,"Диализ перитонеальный (син. диализ брюшинный, ирригация перитонеальная, лаваж перитонеальный, промывание брюшины) - Интракорпоральный диализ, заключающийся во введении диализирующего раствора в брюшинную полость "
перитонеография , Рентгенография брюшинной полости после введения в нее контрастного вещества. 
перитонзиллярный абсцесс ,"Перитонзиллярный абсцесс (абсцесс околоминдаликовый) - возникает при нагноении миндальных фолликулов, расположенных в глубине миндалины и прорыве их в глубокие лакуны, которые достигают задней стенки миндалины, то есть капсулы миндалины "
перитонит ,Перитонит - воспаление брюшины.1 
периульцерозный ,Периульцерозный - околоязвенный. 
перифери­ческие отеки ,"Отеки периферические - избыточное накопление жидкости в мягких тканях, в основном в подкожной клетчатке груди, живота и конечностей "
перихолецистит ,"Перихолецистит - воспаление брюшины, покрывающей нижнезаднюю и боковые поверхности желчного пузыря, и (или) соединительной ткани, отделяющей его передневерхнюю поверхность от печени "
перкуссия ,"Перкуссия - метод исследования внутренних органов, основанный на постукивании по поверхности тела обследуемого с оценкой характера возникающих при этом звуков "
перкуторное притупление ,"Тихий расплывчатый перкуторный звук, возникающий при перкуссии над участком, содержащим меньше воздуха, чем в норме. "
пернициозная анемия ,"Пернициозная анемия - прогрессирующая форма анемии, возникающая при нарушении усвоения витамина В12; одной из форм этиологии является наследственная, связанная с генетически детерминированным недостатком витамин-В12-связывающего фактора крови "
перорально ,Перорально (перора́льный приём лекарственных средств) — это приём лекарства через рот 
персистенция ,"Персистенция (персистирование) - замедленное обратное развитие какого-либо органа, в норме подвергающегося атрофии (например, вилочковой железы), или функциональной единицы органа (например, фолликула яичника) "
перфорации ,Перфорация - возникновение сквозного дефекта в стенке полого органа.4 
перфузия ,"Перфузия - 1) продолжительное нагнетание жидкости (например, крови) с лечебной или экспериментальной целью в кровеносные сосуды органа, части тела или всего организма; 2) естественное кровоснабжение некоторых органов, например почек; 3) кровообращение искусственное.0 "
петехия ,"Петехия - пятно на коже или слизистой оболочке диаметром 1-2 мм, обусловленное капиллярным кровоизлиянием "
печеночная колика ,"Колика желчная (син. колика печеночная) - колика с локализацией боли в правом подреберье, иррадиирующей по всему животу, в правое плечо и межлопаточное пространство; основной синдром желчнокаменной болезни; наблюдается также при холецистите "
печеночная недостаточность ,"Печеночная недостаточность - патологическое состояние, характеризующееся нарушением функций печени и проявляющееся обычно желтухой, геморрагическим синдромом и нервно-психическими расстройствами "
печеночная энцефалопатия ,"Печеночная энцефалопатия (гепатаргия) - клинический синдром, развивающийся при тяжелой печеночной недостаточности или печеночной интоксикации и проявляющийся нервно-психическими нарушениями, появлением печеночного запаха изо рта, возможным развитием печеночной комы. "
пиелит ,Пиелит - воспаление почечной лоханки 
пиелонефрит ,Пиелонефрит - воспаление преимущественно интерстициальной ткани почки и почечной лоханки 
пиелофлебит ,Пиелофлебит - воспаление почечных вен 
пиелэктазия ,Пиелэктазия - расширение почечной лоханки при сохранении ее функции; начальная стадия гидронефроза 
пиемия ,"Пиемия - форма сепсиса, при которой микроорганизмы переносятся с током крови в различные органы и ткани, где вызывают развитие метастатических абсцессов "
пилефлебит ,"Пилефлебит - воспаление воротной вены; возникает как осложнение гнойных процессов в брюшной полости, например острого гнойного аппендицита. "
пилорический канал ,"Пилорический канал (канал привратника) -  конечная часть желудка, примыкающая к привратнику (суженная часть желудка в месте его перехода в двенадцатиперстную кишку.). "
пилородуоденальный ,Пилородуоденальный - локализованный в области привратника желудка и двенадцатиперстной кишки 
пилоромиотомия ,"Пилоромиотомия - хирургическая операция, заключающаяся в рассечении сфинктера привратника для уменьшения проявлений врожденного пилоростеноза. "
пилороспазм ,"Пилороспазм - спазм мускулатуры привратника желудка, обусловливающий отсутствие или затруднение опорожнения желудка. "
пилоростеноз ,"Пилоростеноз - сужение привратника желудка, затрудняющее его опорожнение "
пиогенная оболочка ,"Пиогенная оболочка (гнойная оболочка, пиогенная мембрана) - оболочка вокруг хронического абсцесса, сформированная из грануляционной ткани и слоя фиброзных волокон "
пиогенный ,Пиогенный - вызывающий образование гноя 
пиодермия ,"Пиодермия - общее название дерматозов, вызываемых стрептококками, стафилококками, реже другими возбудителями и характеризующихся гнойным воспалением кожи "
пиопневмоторакс ,"Пиопневмоторакс - скопление гноя и газа (воздуха) в плевральной полости; возникает при наличии пневмоторакса (наличие воздуха или газа в плевральной полости) или при гнилостном плеврите (воспаление плевры, вызываемое гнилостной микрофлорой с образованием зловонного экссудата) "
пиурия ,"Пиурия - наличие гноя в моче, определяемое макроскопически или по повышенному количеству лейкоцитов в осадке мочи "
плазматические клетки ,"Плазматические клетки, плазмоциты — основные клетки, продуцирующие антитела в организме человека. Являются конечным этапом развития B-лимфоцита "
плазмаферез ,Плазмаферез - получение плазмы крови с возвращением форменных элементов в кровеносное русло 
платипноэ ,Платипноэ - уменьшение одышки в горизонтальном положении и ухудшение одышки в вертикальном положении 
плевра ,"Серозная оболочка, покрывающая легкие и выстилающая стенки грудной полости. "
плевральная полость ," Парное замкнутое щелевидное пространство между пристеночной и легочной плеврой, заполненное серозной жидкостью. "
плевральный выпот ,Плевральный выпот - патологическое накопление жидкости в плевральной полости 
плеврит ,"Плеврит - воспаление плевры (серозная оболочка, покрывающая легкие и выстилающая стенки грудной полости)8 "
плеоцитоз ,Плеоцитоз - повышенное содержание клеточных элементов в цереброспинальной жидкости 
плечелопаточный периартрит ,"Периартрит плечелопаточный (синдром Дюплея) - болезненное ограничение движений в плечевом суставе, обусловленное воспалительными изменениями периартикулярной ткани "
пляска каротид ,"Пляска сонных артерий (син. пляска каротид, танец каротид) - отчетливо видимая на шее пульсация общих сонных артерий; признак недостаточности аортального клапана; может также наблюдаться при гиперкинезии сердца у истощенного больного "
пневматизация ,Пневматизация — наличие заполненных воздухом полостей 
пневматоз ,"Пневматоз -  1) патологический процесс, характеризующийся вздутием тканей и органов (клетчатки, мышц, кишечной стенки и др.) вследствие образования в них пузырьков газа (при гнилостном воспалении) или проникновения воздуха извне; 2) в рентгенологии - избыточное содержание газа в кишечнике "
пневматоцеле ,"Пневматоцеле - патологическое образование в виде полости, заполненной газом "
пневматурия ,Пневматурия - наличие газа в моче 
пневмобилия ,Пневмобилия - присутствие воздуха в желчных путях 
пневмокониоз ,"Пневмокониоз - общее название профессиональных болезней органов дыхания, обусловленных воздействием производственной пыли и характеризующихся развитием склеротических изменений легочной ткани "
пневмомедиастинума ,Пневмомедиастинум - наличие воздуха или газа в клетчатке средостения. 
пневмоперикард ,Пневмоперикард - наличие газа в перикардиальной полости 
пневмоперитонеум ,Пневмоперитонеум - 1. Наличие газа в брюшинной полости. 2. Заполнение газом забрюшинного пространства 
пневмосклероз ,"Пневмосклероз (син. фиброз легких) — разрастание соединительной ткани в легких, приводящее к нарушению их функции "
пневмоторакс ,Пневмоторакс - наличие воздуха или газа в плевральной полости.9 
пневмоторакс спонтанный ,"Пневмоторакс спонтанный - внутренний пневмоторакс (наличие воздуха или газа в плевральной полости), внезапно развивающийся при каком-либо патологическом процессе в легких "
повреждения Жаневье ,Пятна Жаневье - безболезненные эритематозные мелкие пятна на ладонях и подошвах 
подчревная ,"Подчревная область (область гипогастральная (Hypogastrium)) - часть брюшной полости, расположенная ниже области желудка (ниже линии, соединяющей обе передние верхние подвздошные ости - ред.). "
поза Ромберга ,"Поза Ромберга — положение стоя со сдвинутыми ногами, с закрытыми глазами и вытянутыми вперед руками "
полиартралгия ,"Полиартралгия - боль, ощущаемая во многих суставах одновременно или последовательно "
полидипсия ,"Полидипсия - повышенное потребление жидкости, обусловленное патологически усиленной жаждой "
полиорганная недостаточность ,"Полиорганная недостаточность - тяжелая неспецифическая стресс-реакция организма, совокупность недостаточности нескольких функциональных систем, развивающаяся как терминальная стадия большинства острых заболеваний и травм "
полип ,"Полип - патологическое образование, выступающее над поверхностью органа и связанное с ним ножкой или своим основанием "
полипозе ,"Полипоз - наличие нескольких или множественных полипов (патологические образования, выступающие над поверхностью органа и связанные с ним ножкой или своим основанием). "
полипрагмазия ,Полипрагмазия - одновременное (нередко необоснованное) назначение множества лекарственных средств или лечебных процедур 
полисерозит ,"Полисерозит - воспаление серозных оболочек нескольких полостей тела (плевры, брюшины, перикарда, иногда суставов); чаще встречается при больших коллагенозах и туберкулезе "
полиурия ,Полиурия - повышенное выделение мочи. 
полифекалия ,Полифекалия - выделение значительно увеличенного количества кала (в среднем за сутки) 
поллиноз ,"Поллиноз - аллергическая болезнь из группы атопий, вызываемая пыльцой растений; характеризуется воспалительными изменениями, гл. обр. конъюнктивы и слизистых оболочек дыхательных путей "
поллютант ,"Загрязняющее вещество (поллютант) — один из видов загрязнителей, любое химическое вещество или соединение, которое находится в объекте окружающей природной среды в количествах, превышающих фоновые значения и вызывающие тем самым химическое загрязнение "
положении Тренделенбурга ,Положение Тренделенбурга - положение лежа на спине под углом 45' с приподнятым по отношению к голове тазом. 
полосатое тело ,"Полосатое тело (стриатум) - парное скопление серого вещества в толще полушарий большого мозга, состоящее из хвостатого и чечевицеобразного ядер, разделенных прослойкой белого вещества - внутренней капсулой "
портальная гипертензия ,Портальная гипертензия -  венозная гипертензия (повышенное гидростатическое давление в венах) в системе воротной вены.3 
портальный ,Портальный - относящийся к воротной вене 
портокавальные анастомозы ,"Портокавальный анастомоз - венозный анастомоз между притоками воротной и полых вен; располагается в стенке брюшной части пищевода, в стенке верхней части прямой кишки "
порфирия ,"Порфирия - общее название наследственных болезней, обусловленных нарушением обмена порфиринов и синтеза гема "
постгеморрагическая анемия ,"Постгеморрагическая анемия - железодефицитная анемия, которая развивается после кровопотери "
постпрандиальный ,Постпрандиальный - возникающий после еды. 
постуральную терапию ,"Постуральная терапия - лечение изменением положения тела, способствует очищению пищевода от желудочного содержимого. "
почечная лоханка ,"Почечная лоханка - воронкообразный проток, расположенный в почечной пазухе, начинающийся от больших почечных чашек и переходящий в мочеточник; начальный отдел мочевыводящих путей "
предикторы ,"Предикторы - признаки, указывающие на возможность появления, развития патологического процесса; симптомы-предсказатели. "
прекордиальная область ,"Прекордиальная область - участок передней стенки грудной клетки, ограниченный проекцией на нее контуров сердца. "
преморбидный фон ,Преморбидный фон - предшествующее и способствующее развитию болезни состояние организма 
претибиальная микседема ,"Муциноз кожи узловатый (син. микседема претибиальная) - форма муциноза кожи (дерматоз, обусловленный отложением муцина в соединительной ткани и фолликулах кожи), характеризующаяся плотными опухолевидными образованиями на голенях и стопах "
привесок яичка ,Привесок яичка - рудиментарное пузырьковидное образование на головке придатка яичка - остаток мезонефрального протока 
привратник ,Привратник -  суженная часть желудка в месте его перехода в двенадцатиперстную кишку. 
проба Вальсальвы ,"Проба Вальсальвы, или как ее еще называют напряжение по Вальсальве – это процесс форсированного (целенаправленного) выдоха при закрытом рте и носовых ходах, в результате которого происходит напряжение мышц брюшной и грудной полостей. "
проба Ширмера ,Проба Ширмера позволяет определить уровень продукции слезной жидкости глазом для поддержания его влажности 
прободение ,Прободение - возникновение сквозного дефекта в стенке полого органа.7 
прогнатизм ,"Прогнатизм - аномалия развития, характеризующаяся выступанием верхней челюсти вперед вследствие ее чрезмерного разрастания "
продромальный период ,"Продромальный период - период заболевания, который протекает между инкубационным периодом и собственно болезнью "
проксимальный ,Проксимальный (Proximalis) - расположенный ближе к центру или срединной линии тела. 
прокталгия ,"Прокталгия - боль в прямой кишке или в заднем проходе. В случае скоротечной прокталгии (proctalgia fugax) приступ резкой боли внезапно возникает в прямой кишке и может длиться в течение нескольких минут или часов; через несколько дней или даже месяцев он может повториться снова; боль не связана ни с каким органическим заболеванием, а возникает, скорее всего, вследствие мышечного спазма. "
проктит ,Проктит - воспаление слизистой оболочки прямой кишки 
проктосигмоидит ,Проктосигмоидит - сочетанное воспаление слизистой оболочки прямой и сигмовидной кишки 
проктосигмоидоскопия ,Проктосигмоидоскопия (ректороманоскопия) - эндоскопический метод исследования слизистой оболочки прямой и сигмовидной кишок 
пролабирования ,"Пролабирование - по-другому, выпячивание. "
пролапса ,Пролапс - смещение вниз какого-либо органа или ткани от его нормального положения; причиной такого смещения обычно бывает ослабление окружающих и поддерживающих его тканей.1 
пролекарство ,"Пролекарство - это химически модифицированная форма лекарственного средства (эфир, соль, соль эфира и т. д.), которая в биосредах в результате метаболических процессов превращается в само лекарственное средство "
пролиферации ,Пролиферация - увеличение числа клеток какой-либо ткани вследствие их размножения9 
промискуитет ,"Промискуитет - частая смена половых партнеров, неупорядоченность половых отношений "
пропотевание ,"Пропотевание - процесс ""просачивания"" плазмы крови сквозь стенки сосудов, наблюдаемое при повышении проницаемости последних "
проприоцептивная чувствительность ,"Чувствительность проприоцептивная (син. батиэстезия, чувствительность глубокая) - чувствительность к раздражению мышц, сухожилий, связок и других элементов суставов "
пропульсивной способности ,"Пропульсивная способность - продвижение (проталкивание) вперед, поступательное движение. "
простатизм ,Простатизм - синдром нарушения мочеиспускания и расстройств некоторых других функций организма при заболеваниях предстательной железы 
простатит ,Простатит - воспаление предстательной железы 
простатэктомия ,Простатэктомия (Prostatectomia; простата + эктомия) - хирургическая операция: удаление предстательной железы. 
пространства Диссе ,Перисинусоидные пространства (син. пространства Диссе) - пространства между гепатоцитами и стенками синусоидных кровеносных капилляров 
пространство Диссе ,Пространство Диссе (перисинусоидальное пространство) — узкий просвет между стенками синусоидных капилляров и гепатоцитами в печеночной дольке. 
протеазы ,"Протеазы (ферменты протеолитические) - ферменты класса гидролаз, катализирующие расщепление белков и пептидов по пептидным связям; участвуют в процессах белкового обмена в организме "
