icd_10,Name,Name_DO,symptoms,names_ru,symptoms_ru_no_stat,InRuMedTop3
N10,acute tubulo-interstitial nephritis,acute pyelonephritis,,Острый тубулоинтерстициальный нефрит,"Учащенное мочеиспускание, Никтурия (учащенное мочеиспускание в ночное время), Болезненное мочеиспускание, Боли в нижней части спины или в боку, Лихорадка (повышение температуры), Сыпь, Зуд кожи, Усталость",0
N11.0,nonobstructive reflux-associated chronic pyelonephritis,,,"Необструктивный хронический пиелонефрит, связанный с рефлюксом",,0
N11.1,,,,Хронический обструктивный пиелонефрит,"общее недомогание, частое болезненное мочеиспускание, боли в области поясницы, утомляемость, нарушение сна",0
N11.8,other chronic tubulo-interstitial nephritis,karyomegalic interstitial nephritis,,Другие хронические тубулоинтерстициальные нефриты,,0
N11.9,,,,Хронический тубулоинтерстициальный нефрит неуточненный,,0
N13.0,,,,Гидронефроз с обструкцией лоханочно-мочеточникового соединения,,0
N13.1,,,,"Гидронефроз со стриктурой мочеточника, не классифицированный в др. рубриках",,0
N13.2,,,,Гидронефроз с обструкцией почки и мочеточника камнем,"неопределенная боль в животе, частые инфекции мочеполовых путей, тошнота, рвота, общая слабость, снижение работоспособности",0
N18.1,"chronic kidney disease, stage 1",,,,,0
N18.2,"chronic kidney disease, stage 2 (mild)",,,,,0
N18.3,"chronic kidney disease, stage 3 (moderate)",,,,,0
N18.4,"chronic kidney disease, stage 4 (severe)",,,,,0
N18.5,"chronic kidney disease, stage 5",,,,,0
N18.6,end stage renal disease,,,,,0
N18.9,"chronic kidney disease, unspecified",chronic kidney disease,"['Acute Coronary Syndrome', 'Angina Pectoris', 'Pruritus', 'Muscular Atrophy', 'Dyspepsia', 'Polyuria', 'Muscle Cramp', 'Hearing Loss, High-Frequency', 'Hearing Disorders', 'Albuminuria', 'Angina, Unstable', 'Sleep Disorders', 'Anoxia', 'Proteinuria', 'Urinary Bladder, Neurogenic', 'Edema, Cardiac', 'Heart Murmurs', 'Edema', 'Body Weight', 'Oliguria', 'Cachexia', 'Taste Disorders', 'Fatigue', 'Neurologic Manifestations', 'Purpura, Schoenlein-Henoch', 'Cardiac Output, High', 'Weight Gain', 'Anorexia']",Хроническая почечная недостаточность неуточненная,,0
N20.0,calculus of kidney,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Anoxia', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Diarrhea', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Dystonia', 'Confusion', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Respiratory Paralysis', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Hyperalgesia', 'Paresthesia', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Dyspepsia', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Urinary Incontinence', 'Hyperemesis Gravidarum', 'Dysuria', 'Flank Pain', 'Amnesia, Transient Global', 'Renal Colic', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Anoxia', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Diarrhea', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Dystonia', 'Confusion', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Respiratory Paralysis', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Hyperalgesia', 'Paresthesia', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Dyspepsia', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Urinary Incontinence', 'Hyperemesis Gravidarum', 'Dysuria', 'Flank Pain', 'Amnesia, Transient Global', 'Renal Colic', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Anoxia', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Diarrhea', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Dystonia', 'Confusion', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Respiratory Paralysis', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Hyperalgesia', 'Paresthesia', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Dyspepsia', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Urinary Incontinence', 'Hyperemesis Gravidarum', 'Dysuria', 'Flank Pain', 'Amnesia, Transient Global', 'Renal Colic', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Anoxia', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Diarrhea', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Dystonia', 'Confusion', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Spasticity', 'Muscle Hypotonia', 'Muscular Atrophy', 'Myotonia', 'Tetany', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Pain, Intractable', 'Hemiplegia', 'Paraplegia', 'Respiratory Paralysis', 'Paresis', 'Paraparesis, Spastic', 'Psychophysiologic Disorders', 'Hyperalgesia', 'Paresthesia', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Dyspepsia', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Urinary Incontinence', 'Hyperemesis Gravidarum', 'Dysuria', 'Flank Pain', 'Amnesia, Transient Global', 'Renal Colic', 'Body Weight', 'Abdominal Pain', 'Proteinuria', 'Weight Gain', 'Obesity', 'Obesity, Morbid', 'Pain', 'Colic', 'Dyspepsia', 'Hypercalciuria', 'Albuminuria', 'Urinary Incontinence', 'Flank Pain', 'Renal Colic']",Камни почки,,1
N20.1,calculus of ureter,ureterolithiasis,,Камни мочеточника,"боли в поясничной области внизу живота в области мочевого пузыря, примеси крови в моче, повышенная температура тела",1
N20.2,,,,Камни почек с камнями мочеточника,,1
N20.9,"urinary calculus, unspecified",,"['Fever', 'Body Weight', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Proteinuria', 'Obesity', 'Edema', 'Paralysis', 'Hearing Loss', 'Hearing Loss, Sensorineural', 'Diarrhea', 'Overweight', 'Obesity, Morbid', 'Fatigue', 'Fetal Distress', 'Mental Retardation', 'Psychomotor Disorders', 'Muscle Spasticity', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Hemiplegia', 'Paraplegia', 'Respiratory Paralysis', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Dizziness', 'Tinnitus', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Pain, Postoperative', 'Vomiting', 'Ecchymosis', 'Jaundice', 'Purpura', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Hemoglobinuria', 'Urinary Incontinence', 'Neurologic Manifestations', 'Spasm', 'Urinary Incontinence, Stress', 'Eye Manifestations', 'Oliguria', 'Flank Pain', 'Dysmenorrhea', 'Renal Colic']",Мочевые камни неуточненные,,1
N28.0,ischemia and infarction of kidney,renal artery obstruction,,Ишемия или инфаркт почки,"резкая боль в области поясницы, повышение температуры тела, появление крови в моче (гематурия), нарушение мочеиспускания (снижение суточного диуреза до полного его прекращения), повышение артериального давления",1
N28.1,"cyst of kidney, acquired",non-congenital cyst of kidney,,Киста почки приобретенная,"Боли в боку спине и в области живота – болевые ощущения чаще тупые и усиливаются после физической нагрузки, Повышенная температура тела, Озноб, Повышенное артериальное давление, Гематурия – кровь в моче, Головная боль",1
N31.0,,,,"Незаторможенный мочевой пузырь, НКДР",,0
N31.1,,,,"Рефлекторный мочевой пузырь, НКДР",,0
N31.2,"flaccid neuropathic bladder, not elsewhere classified",,,"Нейрогенная слабость мочевого пузыря, НКДР","Учащенное мочеиспускание, Недержание мочи (при возникновении позыва к мочеиспусканию), Задержка мочи немеханического характера, Боли в области мочевого пузыря и проекции уретры, Императивные позывы к мочеиспусканию",0
N31.8,other neuromuscular dysfunction of bladder,,,Другие нервно-мышечные дисфункции мочевого пузыря,"Учащенное мочеиспускание, Недержание мочи (при возникновении позыва к мочеиспусканию), Задержка мочи немеханического характера, Боли в области мочевого пузыря и проекции уретры, Императивные позывы к мочеиспусканию",0
N31.9,"neuromuscular dysfunction of bladder, unspecified",,,Нервно-мышечная дисфункция мочевого пузыря неуточненная,,0
N39.0,"urinary tract infection, site not specified",,"['Fever', 'Hypothermia', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Hypertonia', 'Quadriplegia', 'Reflex, Abnormal', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Sleep Disorders', 'Diarrhea', 'Fever of Unknown Origin', 'Fetal Distress', 'Hot Flashes', 'Hypergammaglobulinemia', 'Mobility Limitation', 'Ataxia', 'Myoclonus', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Coma', 'Syncope', 'Mental Retardation', 'Hallucinations', 'Muscle Cramp', 'Muscle Spasticity', 'Muscle Hypotonia', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Hemiplegia', 'Paraplegia', 'Psychophysiologic Disorders', 'Dizziness', 'Deafness', 'Paresthesia', 'Dysgeusia', 'Vision Disorders', 'Urinary Bladder, Neurogenic', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Angina, Unstable', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Dyspepsia', 'Hyperphagia', 'Vomiting', 'Hematemesis', 'Ecchymosis', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombotic Thrombocytopenic', 'Hypercalciuria', 'Polyuria', 'Albuminuria', 'Hemoglobinuria', 'Urinary Incontinence', 'Spasm', 'Urinary Incontinence, Stress', 'Chills', 'Flushing', 'Intermittent Claudication', 'Dysuria', 'Oliguria', 'Flank Pain', 'Prostatism', 'Urinary Bladder, Overactive', 'Hearing Loss, Functional', 'Encopresis', 'Urinary Incontinence, Urge']",Инфекция мочевыводящих путей без установленной локализации,,1
N39.3,stress incontinence (female) (male),,,Непроизвольное мочеиспускание,,1
N40.0,enlarged prostate without lower urinary tract symptoms,,,Гиперплазия предстательной железы,"Затрудненное начало мочеиспускания, Слабая струя мочи, Выделение мочи каплями (дриблинг), срочное мочеиспускание, Неполное опорожнение мочевого пузыря",1
N40.1,enlarged prostate with lower urinary tract symptoms,,,,,1
N40.2,nodular prostate without lower urinary tract symptoms,,,,,1
N40.3,nodular prostate with lower urinary tract symptoms,,,,,1
N41.0,acute prostatitis,,,Острый простатит,"подъем температуры, частые позывы к опорожнению мочевого пузыря, ненапряженная струя мочи, боли в области малого таза",1
N41.1,chronic prostatitis,,,Хронический простатит,,1
N41.2,abscess of prostate,,,Абсцесс предстательной железы,"Повышается температура тела, появляется озноб, лихорадка, Развитие интоксикации, Происходит повышение потливости и учащение сердцебиения, Болит поясница и промежность, Нарушается дефекация, с трудом отходят газы, В моче появляется гной, Моча изменяет свой цвет на мутный",1
N41.3,prostatocystitis,prostatocystitis,,Простатоцистит,"слабость, нарушения сна, миалгии",1
N41.4,,,,,,1
N41.8,other inflammatory diseases of prostate,,,Другие воспалительные болезни предстательной железы,,1
N41.9,"inflammatory disease of prostate, unspecified",prostatitis,,Воспалительная болезнь предстательной железы неуточненная,"Частое мочеиспускание, Болезненное мочеиспускание, Слабый напор мочи и рези, Нарушение эрекции, Жжение в уретре, Содержание волокнистых или кровянистых примесей в моче, Ускоренное семяизвержение",1
N43.0,encysted hydrocele,,,Гидроцеле осумкованное,,0
N43.1,infected hydrocele,infected hydrocele,,Инфицированное гидроцеле,"пальпаторно мошонка увеличена, яичко не прощупывается, боль при ходьбе,  увеличены паховые лимфоузлы, местно кожа горячее обычного",0
N43.2,other hydrocele,,,Другие формы гидроцеле,,0
N43.3,"hydrocele, unspecified",,"['Birth Weight', 'Abdominal Pain', 'Edema', 'Pain', 'Abdomen, Acute', 'Ecchymosis', 'Neurologic Manifestations']",Гидроцеле неуточненное,,0
N47.0,,,,,,0
N47.1,phimosis,phimosis,,,,0
N47.2,,paraphimosis,,,,0
N47.3,,,,,,0
N47.4,,,,,,0
N47.5,,,,,,0
N47.6,balanoposthitis,balanoposthitis,,,,0
N47.7,,,,,,0
N47.8,,,,,,0
N48.0,leukoplakia of penis,leukoplakia of penis,,Лейкоплакия полового члена,,0
N48.1,,balanitis,,Баланопостит,"покраснение, локальное повышение температуры тела, отечность",0
N63.0,,,,,,0
N64.0,fissure and fistula of nipple,,,Трещина и свищ соска,,0
N64.1,fat necrosis of breast,fat necrosis of breast,,Жировой некроз молочной железы,"кожа над опухолью приобрела цианотичную окраску (синюшный цвет), втяжение соска, увеличение лимфатических узлов, ямочки на коже",0
N64.2,atrophy of breast,,,Атрофия молочной железы,,0
N64.3,galactorrhea not associated with childbirth,,,"Галакторея, не связанная с деторождением",,0
N64.4,mastodynia,,,Мастодиния,"Локальные болевые ощущения в молочной железе, Покраснение молочной железы, Повышение температуры молочной железы, Выделения из сосков различной интенсивности, ",0
N72,inflammatory disease of cervix uteri,cervicitis,,Воспалительная болезнь шейки матки,,0
N73.0,acute parametritis and pelvic cellulitis,,,Острый параметрит и тазовый целлюлит,"постоянная тупая боль внизу живота с иррадиацией в крестец, повышается температура тела до 38-39, тахикардия, головная боль, жажда, сухость во рту, ухудшение самочувствия, нарушение сна",0
N73.1,chronic parametritis and pelvic cellulitis,,,Хронический параметрит и тазовый целлюлит,,0
N73.2,,,,Параметрит и тазовый целлюлит неуточненные,,0
N73.3,female acute pelvic peritonitis,acute female pelvic peritonitis,,Острый тазовый перитонит у женщин,"Повышение температуры до 30-39°С, Учащение пульса (до 100 ударов в минуту и выше), Озноб, Сильные боли внизу живота",0
N73.4,female chronic pelvic peritonitis,,,Хронический тазовый перитонит у женщин,,0
N73.5,,,,Тазовый перитонит у женщин неуточненный,,0
N73.6,female pelvic peritoneal adhesions (postinfective),,,Тазовые перитонеальные спайки у женщин,,0
N73.8,other specified female pelvic inflammatory diseases,,,Другие уточненные воспалительные болезни женских тазовых органов,,0
N73.9,"female pelvic inflammatory disease, unspecified",pelvic inflammatory disease,,Воспалительные болезни женских тазовых органов неуточненные,,0
N76.0,acute vaginitis,vulvovaginitis,,Острый вагинит,"гиперемия, зуд и жжение в области влагалища, обильные нетипичные бели, диспареуния, рези при мочеиспускании",1
N76.1,,,,Подострый и хронический вагинит,,1
N76.2,,vulvitis,,Острый вульвит,,1
N76.3,,,,Подострый и хронический вульвит,"Выделения имеющие серозно-гнойный либо сукровичный характер, Дискомфорт при мочеиспускании, ощущения вызывающие боль во время полового акта, зуд, жжение",1
N76.4,abscess of vulva,,,Абсцесс вульвы,,1
N76.5,,,,Изъязвление влагалища,"зуд слизистой вульвы и влагалища, Давление и боль внизу живота, Выделения с неприятным запахом желтоватые,мутные с пузырьками газа, Творожистые выделения сопровождающиеся зудом или жжением, Нерегулярные менструации, Болезненное или затрудненное мочеиспускание",1
N76.6,ulceration of vulva,,,Изъязвление вульвы,,1
N80.0,endometriosis of uterus,endometriosis of uterus,,Эндометриоз матки,"болезненные обильные месячные, дискомфорт при половом акте, сложности с зачатием и склонность к выкидышам, нарушения менструального цикла, спазмы в животе вне месячных",1
N80.1,endometriosis of ovary,endometriosis of ovary,,Эндометриоз яичников,,1
N80.2,endometriosis of fallopian tube,fallopian tube endometriosis,,Эндометриоз маточной трубы,,1
N80.3,endometriosis of pelvic peritoneum,endometriosis of pelvic peritoneum,,Эндометриоз тазовой брюшины,"дисменорея (сильные боли маточного происхождения при менструации), дисфория (боль во время полового акта), менструации с повышенным кровотечением, хроническая тазовая боль отдающую в спину, отек живота, диарея, запор",1
N80.4,endometriosis of rectovaginal septum and vagina,endometriosis of rectovaginal septum and vagina,,Эндометриоз ректовагинальной перегородки и влагалища,,1
N80.5,endometriosis of intestine,endometriosis of intestine,,Эндометриоз кишечника,,1
N80.6,endometriosis in cutaneous scar,endometriosis in scar of skin,,Эндометриоз кожного рубца,появление в рубцовой ткани объемного образования,1
N80.8,other endometriosis,,,Другой эндометриоз,,1
N80.9,"endometriosis, unspecified",,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Reflex, Abnormal', 'Abdominal Pain', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Obesity', 'Edema', 'Paralysis', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Diarrhea', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Hot Flashes', 'Memory Disorders', 'Muscle Cramp', 'Muscle Hypotonia', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Sciatica', 'Pain, Intractable', 'Paraplegia', 'Paraparesis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Hyperalgesia', 'Hypesthesia', 'Paresthesia', 'Urinary Bladder, Neurogenic', 'Voice Disorders', 'Abdomen, Acute', 'Colic', 'Arthralgia', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Flatulence', 'Vomiting', 'Jaundice', 'Jaundice, Obstructive', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Polyuria', 'Urinary Incontinence', 'Virilism', 'Neurologic Manifestations', 'Spasm', 'Shoulder Pain', 'Skin Manifestations', 'Flushing', 'Horner Syndrome', 'Dysuria', 'Hirsutism', 'Oliguria', 'Flank Pain', 'Pain, Referred', 'Dysmenorrhea', 'Anisocoria', 'Urinary Bladder, Overactive', 'Tonic Pupil', 'Urinary Incontinence, Urge', 'Nocturia']",Эндометриоз неуточненный,,1
N81.0,urethrocele,prolapse of urethra,,Уретроцеле у женщин,"боли в области мочевого пузыря которые связаны с нарушением уродинамики, частые позывы к мочеиспусканию, уменьшение разовой порции мочи во время микции, фебрильная лихорадка, изменение состава мочи: появляется кровь лейкоциты и неприятный запах",1
N84.0,polyp of corpus uteri,polyp of corpus uteri,,Полип тела матки,"межменструальные кровотечения (циклические или ациклические), постменопаузальные кровотечения, обильные менструальные выделения, сукровичные выделения накануне и длительные мажущие выделения после окончания менструации, нарушения менструального цикла, обильные слизистые бели",1
N84.1,polyp of cervix uteri,,,Полип шейки матки,,1
N84.2,polyp of vagina,,,Полип влагалища,,1
N84.3,polyp of vulva,,,Полип вульвы,"Появление папилломатозного образования на коже половых органов, Кровянистые выделения из полипа при его травмировании, Ноющие боли или дискомфорт в месте расположения полипа",1
N84.8,,,,Полип других отделов женских половых органов,,1
N84.9,,,,Полип женских половых органов неуточненный,"межменструальные кровотечения (циклические или ациклические), постменопаузальные кровотечения, обильные менструальные выделения, сукровичные выделения накануне и длительные мажущие выделения после окончания менструации, нарушения менструального цикла, обильные слизистые бели",1
N86,erosion and ectropion of cervix uteri,,,Эрозия и эктропион шейки матки,,1
N87.0,mild cervical dysplasia,,,Слабовыраженная дисплазия шейки матки,"Влагалищные выделения, Появление болезненных ощущений во время или же после полового акта, Долговременные тянущие боли внизу живота, Внешние половые органы сильно раздражены",0
N87.1,moderate cervical dysplasia,,,Умеренная дисплазия шейки матки,,0
N87.9,"dysplasia of cervix uteri, unspecified",,"['Mental Retardation', 'Psychophysiologic Disorders', 'Mental Retardation', 'Psychophysiologic Disorders']",Дисплазия шейки матки неуточненная,,0
N88.0,leukoplakia of cervix uteri,uterine cervix leukoplakia,,Лейкоплакия шейки матки,"Выделения с неприятным запахом, Небольшие болезненные ощущения при половом акте, Выделения сукровицы после полового акта, Зуд или жжение (при распространении паталогического процесса за пределы шейки матки)",0
N88.1,old laceration of cervix uteri,,,Старый разрыв шейки матки,,0
N88.2,stricture and stenosis of cervix uteri,,,Стриктура и стеноз шейки матки,"Нарушения менструального цикла в форме аменореи (отсутствия месячных), дисменория (болезненные месячные), патологические межменструальные кровотечения",0
N88.3,incompetence of cervix uteri,cervical incompetence,,Недостаточность шейки матки,,0
N88.4,hypertrophic elongation of cervix uteri,hypertrophic elongation of cervix,,Гипертрофическое удлинение шейки матки,"дискомфорт внизу живота, боль при половом акте, бесплодие",0
N88.8,other specified noninflammatory disorders of cervix uteri,,,Другие уточненные невоспалительные болезни шейки матки,,0
N88.9,"noninflammatory disorder of cervix uteri, unspecified",,,Невоспалительная болезнь шейки матки неуточненная,,0
N89.0,,,,Слабовыраженная дисплазия влагалища,"необычное кровотечение из вагины,резкий неприятный вагинальный запах",0
N89.1,,,,Умеренная дисплазия влагалища,,0
N89.3,"dysplasia of vagina, unspecified",,,Дисплазия влагалища неуточненная,,0
N89.4,leukoplakia of vagina,leukoplakia of vagina,,Лейкоплакия влагалища,"Ороговение пораженного эпителия и изменение его цвета, Уплотнение очагов и формирование своеобразных бляшек",0
N89.5,stricture and atresia of vagina,,,Стриктура и атрезия влагалища,"Периодические боли внизу живота при отсутствии менструаций, Гематометра – скопление крови в полости матки в результате нарушения или полной блокировки ее оттока, Гематокольпос – скопление крови в верхней части влагалища вследствие заращения его нижней области",0
N89.6,tight hymenal ring,,,Плотная девственная плева,,0
N89.7,,,"['Abdominal Pain', 'Anoxia', 'Syncope', 'Muscle Spasticity', 'Pain', 'Back Pain', 'Low Back Pain', 'Sciatica', 'Abdomen, Acute', 'Pelvic Pain', 'Constipation', 'Urinary Incontinence', 'Dysmenorrhea']",Гематокольпос,,0
N89.8,other specified noninflammatory disorders of vagina,leukorrhea,,Другие невоспалительные болезни влагалища,,0
N89.9,"noninflammatory disorder of vagina, unspecified",,,Невоспалительная болезнь влагалища неуточненная,,0
N90.0,mild vulvar dysplasia,,,Слабовыраженная дисплазия вульвы,,0
N90.1,moderate vulvar dysplasia,,,Умеренная дисплазия вульвы,"вагинальный зуд, боль в половых органах, изменения кожи половых губ, дискомфорт или боль во время секса",0
N90.3,,,,Дисплазия вульвы неуточненная,,0
N90.4,leukoplakia of vulva,vulvar dystrophy,,Лейкоплакия вульвы,,0
N90.5,atrophy of vulva,atrophic vulva,,Атрофия вульвы,"жжение зуд сухость кожи гениталий, дискомфорт во время полового акта, атрофические изменения тканей наружных половых органов",0
N91.0,,,,Первичная аменорея,,1
N91.1,,,,Вторичная аменорея,"боли внизу живота, психические нарушения, ожирение, вегетативные нарушения ",1
N91.2,"amenorrhea, unspecified",amenorrhea,,Аменорея неуточненная,"длительное отсутствие менструаций, головная боль, общая слабость, нарушение зрения, жирная кожа, угри, избыточное оволосение.",1
N91.3,,,,Первичная олигоменорея,,1
N91.4,,,,Вторичная олигоменорея,"нарушение менструального цикла, мужское телосложение, гирсутизм (повышенный рост волос по мужскому типу), повышенное потоотделение, повышенная утомляемость, депрессивные состояния, нервозность",1
N91.5,"oligomenorrhea, unspecified",,"['Body Weight', 'Obesity', 'Obesity, Morbid', 'Thinness', 'Virilism', 'Hirsutism', 'Dysmenorrhea', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Dyspnea', 'Hemoptysis', 'Weight Gain', 'Obesity', 'Edema', 'Sleep Disorders', 'Asthenia', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Eye Hemorrhage', 'Hot Flashes', 'Learning Disorders', 'Confusion', 'Memory Disorders', 'Mental Retardation', 'Hallucinations', 'Muscle Cramp', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Hemiplegia', 'Paresis', 'Psychophysiologic Disorders', 'Dizziness', 'Paresthesia', 'Vertigo', 'Abdomen, Acute', 'Chest Pain', 'Pelvic Pain', 'Constipation', 'Bulimia', 'Vomiting', 'Pruritus', 'Purpura, Thrombocytopenic', 'Purpura, Thrombotic Thrombocytopenic', 'Virilism', 'Spasm', 'Urinary Incontinence, Stress', 'Flushing', 'Syncope, Vasovagal', 'Postoperative Nausea and Vomiting', 'Hirsutism', 'Amblyopia', 'Dysmenorrhea']",Олигоменорея неуточненная,,1
